benign.location_x,forward.location_x,reverse.location_x
-84.86968231201172,-85.29246520996094,-85.55303192138672
-84.65711975097656,-85.15772247314453,-85.42027282714844
-84.49974060058594,-85.02059173583984,-85.29915618896484
-84.32548522949219,-84.869384765625,-85.15003967285156
-84.13424682617188,-84.72185516357422,-84.9789810180664
-83.94173431396484,-84.56243133544922,-84.79926300048828
-83.72306823730469,-84.40120697021484,-84.61524963378906
-83.47782897949219,-84.2438735961914,-84.42223358154297
-83.27179718017578,-84.06034851074219,-84.21638488769531
-83.04741668701172,-83.84229278564453,-84.01150512695312
-82.82144165039062,-83.63502502441406,-83.80156707763672
-82.31163787841797,-83.41353607177734,-83.60600280761719
-82.10877990722656,-83.12274169921875,-83.41020202636719
-81.87297821044922,-82.87700653076172,-83.16629791259766
-81.63320922851562,-82.69509887695312,-82.92122650146484
-81.38835906982422,-82.43283081054688,-82.66075134277344
-81.1661605834961,-82.18311309814453,-82.44625091552734
-80.91243743896484,-81.96781158447266,-82.24903869628906
-80.665771484375,-81.70458984375,-82.05571746826172
-80.41133117675781,-81.46196746826172,-81.86812591552734
-80.16148376464844,-81.11620330810547,-81.67623901367188
-79.90367889404297,-80.8451919555664,-81.46746826171875
-79.62174987792969,-80.56082916259766,-81.2516860961914
-79.36128997802734,-80.23170471191406,-81.02400970458984
-79.05543518066406,-79.87946319580078,-80.76321411132812
-78.77745056152344,-79.59440612792969,-80.51509857177734
-78.48210144042969,-79.3294677734375,-80.31085205078125
-78.13462829589844,-79.09357452392578,-80.13223266601562
-77.48040771484375,-78.83343505859375,-79.97907257080078
-77.17523956298828,-78.57951354980469,-79.84896850585938
-76.8879165649414,-78.33081817626953,-79.74554443359375
-76.51004028320312,-78.08349609375,-79.62095642089844
-76.20282745361328,-77.82595825195312,-79.53438568115234
-75.93522644042969,-77.55255889892578,-79.4714126586914
-75.66831970214844,-77.28854370117188,-79.39892578125
-75.39540100097656,-76.9964599609375,-79.34062957763672
-75.09835052490234,-76.7193603515625,-79.31011962890625
-74.81246185302734,-76.4379653930664,-79.28285217285156
-74.51749420166016,-76.16032409667969,-79.26109313964844
-74.21305847167969,-75.89492797851562,-79.24159240722656
-73.90630340576172,-75.60009765625,-79.21942901611328
-73.621337890625,-75.37002563476562,-79.20098114013672
-73.30000305175781,-75.12254333496094,-79.18482208251953
-72.95948791503906,-74.80548858642578,-79.17057800292969
-72.558837890625,-74.58190155029297,-79.15364837646484
-72.2525405883789,-74.35588073730469,-79.14353942871094
-71.87004852294922,-74.13207244873047,-79.1340560913086
-71.54878234863281,-73.91046905517578,-79.12567138671875
-71.22310638427734,-73.67993927001953,-79.11772155761719
-70.94630432128906,-73.46238708496094,-79.11096954345703
-70.6455078125,-73.24884796142578,-79.10446166992188
-70.34403991699219,-73.0299072265625,-79.09878540039062
-70.03651428222656,-72.8101806640625,-79.09375
-69.75128936767578,-72.60218048095703,-79.08929443359375
-69.41936492919922,-72.37710571289062,-79.0848388671875
-69.1329116821289,-72.16517639160156,-79.08116149902344
-68.84375762939453,-71.96097564697266,-79.07707214355469
-68.56942749023438,-71.75407409667969,-79.07315826416016
-68.29582977294922,-71.55408477783203,-79.07012176513672
-67.99131774902344,-71.35694885253906,-79.06785583496094
-67.69353485107422,-71.14360809326172,-79.06562805175781
-67.4117202758789,-70.93988037109375,-79.06412506103516
-67.12303924560547,-70.70803833007812,-79.06315612792969
-66.8367691040039,-70.49742126464844,-79.06242370605469
-66.5553970336914,-70.03311920166016,-79.06200408935547
-66.26131439208984,-69.77722930908203,-79.06175231933594
-65.98417663574219,-69.5265884399414,-79.0616683959961
-65.59449005126953,-69.28754425048828,-79.0617446899414
-65.26250457763672,-69.05806732177734,-79.06197357177734
-64.89707946777344,-68.82553100585938,-79.06239318847656
-64.20197296142578,-68.52291107177734,-79.06298828125
-63.59962844848633,-68.30670166015625,-79.06370544433594
-63.20199966430664,-68.11345672607422,-79.06451416015625
-62.86867904663086,-67.93402862548828,-79.0654525756836
-62.58896255493164,-67.75010681152344,-79.067138671875
-62.3176155090332,-67.57831573486328,-79.07170867919922
-62.0468864440918,-67.39403533935547,-79.07766723632812
-61.70841598510742,-67.22735595703125,-79.08470916748047
