benign_rotation,replay_rotation
-102.1019058227539,-56.65226745605469
-102.10133361816406,-55.65497970581055
-102.10281372070312,-54.90638732910156
-102.1026382446289,-54.16136932373047
-102.09951782226562,-53.771488189697266
-102.09037780761719,-53.15686798095703
-102.09951782226562,-52.033138275146484
-102.10395812988281,-51.46550750732422
-102.10736846923828,-50.88819885253906
-102.10829162597656,-49.745025634765625
-102.10755920410156,-49.243656158447266
-102.10385131835938,-48.855621337890625
-102.10470581054688,-48.383949279785156
-102.10871124267578,-47.50177764892578
-102.11000061035156,-47.0108528137207
-102.11860656738281,-46.33907699584961
-102.11174011230469,-45.40615463256836
-102.10665130615234,-43.06178283691406
-102.10602569580078,-40.60614013671875
-102.10718536376953,-40.0964241027832
-102.11063385009766,-39.67543029785156
-102.11277770996094,-38.498905181884766
-102.1133041381836,-36.4003791809082
-102.10331726074219,-35.51089096069336
-102.1058349609375,-34.702392578125
-102.10762786865234,-33.99699401855469
-102.10993194580078,-32.792991638183594
-102.11600494384766,-30.836652755737305
-102.11315155029297,-30.03601837158203
-102.12174224853516,-29.329374313354492
-102.11237335205078,-28.34282875061035
-102.10688781738281,-27.432390213012695
-102.12013244628906,-26.955368041992188
-102.11711120605469,-25.860149383544922
-102.11371612548828,-24.925331115722656
-102.11213684082031,-22.236526489257812
-102.10967254638672,-19.724760055541992
-102.11437225341797,-17.624889373779297
-102.11250305175781,-16.757034301757812
-102.11112213134766,-16.439315795898438
-102.10957336425781,-16.156816482543945
-102.11000061035156,-15.950271606445312
-102.1038589477539,-15.903304100036621
-102.10633850097656,-15.908343315124512
-102.10542297363281,-15.896770477294922
-102.10298156738281,-15.897171974182129
-102.10442352294922,-15.897232055664062
-102.11000061035156,-15.897293090820312
-102.10859680175781,-15.89726448059082
-102.10700225830078,-15.89726448059082
-102.11360168457031,-15.897262573242188
-102.10926818847656,-15.897232055664062
-102.10804748535156,-15.897232055664062
-102.10874938964844,-15.897233963012695
-102.10836029052734,-15.897233963012695
-102.11200714111328,-15.897233963012695
-102.10957336425781,-15.897233963012695
-102.10957336425781,-15.897233963012695
-102.09989929199219,-15.897233963012695
-102.10025787353516,-15.897233963012695
-102.09452819824219,-15.897233963012695
-102.0901870727539,-15.897233963012695
-102.09101867675781,-15.897233963012695
-102.0934829711914,-15.897233963012695
-102.09306335449219,-15.897233963012695
-102.09089660644531,-15.897233963012695
-102.09233093261719,-15.897233963012695
-102.0934829711914,-15.897233963012695
-102.09791564941406,-15.897233963012695
-102.09978485107422,-15.897233963012695
-102.09163665771484,-15.897233963012695
-102.09241485595703,-15.897233963012695
-102.09980773925781,-15.897233963012695
-102.10567474365234,-15.897233963012695
-102.10779571533203,-15.897233963012695
-102.10871124267578,-15.897233963012695
-102.11063385009766,-15.897233963012695
-102.10967254638672,-15.897233963012695
-102.10945129394531,-15.897233963012695
-102.09920501708984,-15.897233963012695
-102.10413360595703,-15.897233963012695
-102.09529113769531,-15.897233963012695
-102.09315490722656,-15.897233963012695
-102.09172058105469,-15.897233963012695
-102.08967590332031,-15.897233963012695
-102.0923843383789,-15.897233963012695
-102.0916519165039,-15.897233963012695
-102.0943832397461,-15.897233963012695
-102.08964538574219,-15.897233963012695
-102.09098815917969,-15.897233963012695
-102.09357452392578,-15.897233963012695
-102.10587310791016,-15.897233963012695
-102.10587310791016,-15.897233963012695
-102.10118103027344,-15.897233963012695
-102.10352325439453,-15.897233963012695
-102.09902954101562,-15.897233963012695
