benign_locationx,benign_locationy,replay_locationx,replay_locationy
-66.89183807373047,-41.81925582885742,-98.05596160888672,-39.943702697753906
-66.89179229736328,-41.81925582885742,-97.89897918701172,-40.233699798583984
-66.89216613769531,-41.81914138793945,-97.69072723388672,-40.618553161621094
-66.89273071289062,-41.81922149658203,-97.25154113769531,-41.415077209472656
-66.89271545410156,-41.81922149658203,-96.96720123291016,-41.90214920043945
-66.89265441894531,-41.819236755371094,-96.76539611816406,-42.243289947509766
-66.8927001953125,-41.81923294067383,-96.35009765625,-42.932498931884766
-66.89275360107422,-41.8192138671875,-96.10841369628906,-43.31026840209961
-66.89275360107422,-41.81920623779297,-95.66925811767578,-43.95851516723633
-66.89305877685547,-41.8192024230957,-95.44904327392578,-44.26286697387695
-66.89317321777344,-41.819095611572266,-95.19754791259766,-44.61122512817383
-66.89329528808594,-41.81907653808594,-94.76649475097656,-45.20330047607422
-66.89330291748047,-41.81907272338867,-94.61546325683594,-45.4019660949707
-66.89303588867188,-41.81912612915039,-94.40348052978516,-45.67475891113281
-66.89303588867188,-41.81912612915039,-93.9710922241211,-46.21791458129883
-66.89262390136719,-41.81919860839844,-93.50076293945312,-46.80669021606445
-66.89263153076172,-41.8192138671875,-93.2814712524414,-47.0660285949707
-66.89274597167969,-41.81919479370117,-92.89728546142578,-47.50537109375
-66.89270782470703,-41.81919479370117,-92.67208862304688,-47.76030349731445
-66.89271545410156,-41.81918716430664,-92.4719009399414,-47.98398971557617
-66.89276885986328,-41.81919860839844,-92.30171966552734,-48.16714859008789
-66.89274597167969,-41.81913375854492,-92.02781677246094,-48.45244598388672
-66.89258575439453,-41.819175720214844,-91.85796356201172,-48.62729263305664
-66.8927001953125,-41.81914520263672,-91.5807113647461,-48.90996551513672
-66.89263153076172,-41.819149017333984,-91.24959564208984,-49.23438262939453
-66.892578125,-41.81916809082031,-90.66759490966797,-49.75952911376953
-66.8923110961914,-41.81916427612305,-89.8873062133789,-50.420101165771484
-66.89215850830078,-41.81916809082031,-89.54964447021484,-50.70180130004883
-66.89201354980469,-41.81920623779297,-88.76393127441406,-51.35561752319336
-66.89202117919922,-41.81920623779297,-87.75667572021484,-52.15618896484375
-66.89195251464844,-41.8192138671875,-87.06436157226562,-52.65099334716797
-66.89205169677734,-41.81918716430664,-86.82576751708984,-52.80986022949219
-66.89205169677734,-41.81916046142578,-86.57688903808594,-52.97336196899414
-66.89179229736328,-41.81915283203125,-86.3275146484375,-53.13452911376953
-66.89179229736328,-41.819175720214844,-85.9271469116211,-53.38172912597656
-66.89146423339844,-41.81916809082031,-85.30953216552734,-53.73756408691406
-66.89118194580078,-41.81924057006836,-84.8946304321289,-53.97214126586914
-66.89100646972656,-41.819252014160156,-84.5436782836914,-54.16227722167969
-66.89104461669922,-41.81924819946289,-84.15321350097656,-54.362342834472656
-66.8909912109375,-41.819252014160156,-83.72032928466797,-54.57877731323242
-66.8908462524414,-41.819183349609375,-83.44422912597656,-54.714237213134766
-66.89069366455078,-41.8192138671875,-82.73304748535156,-55.05287170410156
-66.8905029296875,-41.81924819946289,-82.32975769042969,-55.23033142089844
-66.89051818847656,-41.81924819946289,-81.29021453857422,-55.64837646484375
-66.8905258178711,-41.81924057006836,-80.468994140625,-55.93033981323242
-66.89042663574219,-41.81926727294922,-79.50614929199219,-56.230712890625
-66.89041900634766,-41.819271087646484,-78.94290161132812,-56.395198822021484
-66.8903579711914,-41.81922912597656,-78.54254913330078,-56.5115852355957
-66.88994598388672,-41.81925582885742,-78.14666748046875,-56.62364196777344
-66.88990783691406,-41.81926345825195,-77.8169937133789,-56.715389251708984
-66.89045715332031,-41.81924819946289,-77.4981460571289,-56.80332946777344
-66.89073944091797,-41.819217681884766,-77.31204223632812,-56.85444259643555
-66.890625,-41.81924057006836,-77.22077178955078,-56.87934112548828
-66.89075469970703,-41.81920623779297,-77.20880126953125,-56.88264846801758
-66.89067840576172,-41.819217681884766,-77.20816040039062,-56.88284683227539
-66.890625,-41.81923294067383,-77.20658874511719,-56.88327407836914
-66.89059448242188,-41.81923294067383,-77.20594787597656,-56.88344955444336
