tick,benign_velocity,uds_velocity
0,8.575171566009521,8.191261196136475
1,9.802722072601318,9.336467456817628
2,11.008085346221923,10.496676063537597
3,8.231024837494875,10.530345726014621
4,4.450142240524809,5.624994421005794
5,2.0650773525239625,2.4346252441410106
6,0.5729157686242027,0.7834281921388454
7,0.252635630966992,0.07516346276574641
8,0.6752691328586149,0.5551575601171898
9,0.8393682360742046,0.7876253664603501
10,0.8436201810859875,0.8691709578072312
11,0.7433435976505738,0.8663185894498164
12,0.645664089918388,0.8108718037605921
13,0.5432893216610152,0.7139660060406602
14,0.4461666673426676,0.5812651634217559
15,0.3571905523538719,0.49463919997250505
16,0.2847911059856435,0.40940508842473683
17,0.22648944233300933,0.3353919178247543
18,1.795239402428427,0.2760161250829831
19,2.7765595820633373,1.253654253719456
20,3.6570268934756243,2.2330614204308765
21,4.299871243783164,2.979139948965385
22,4.836266482105603,3.77585212200894
23,5.457598440971584,4.362304276163244
24,6.0995386107116545,4.9069076246529395
25,6.526107963286047,5.331554349100653
26,6.898583010010792,5.489802696056815
27,7.271016755957396,5.7791752568721115
28,7.670320777041509,6.231706483605821
29,8.215591661967462,6.636769847952899
30,8.830451689785038,7.022746274590812
31,10.002240377474731,7.2293279835525395
32,10.524523920014325,7.66176742955051
33,11.213254015451069,8.176523131236076
34,11.977582677434956,8.610869746465214
35,12.546200783056875,9.298148098189005
36,13.123904735333591,9.845056924459291
37,14.044165696095925,10.32692387573078
38,14.823953776285792,10.933424904815345
39,15.3831170278692,11.551291612550203
40,15.975654336160247,12.171760890970496
41,16.51854800464002,12.751423382136656
42,17.085459974082557,13.280843294344395
43,17.72448750973011,13.794705820851284
44,18.481582641277097,14.322213973883276
45,19.036493889226293,14.825503844643698
46,19.043004466352187,15.316269771874582
47,19.072636053965045,15.788145294708553
48,19.223285479275003,16.28337774540228
49,19.4948323282076,16.752789221408285
50,19.74356231931713,17.22442612264827
51,19.884043361851308,17.713401407245193
52,20.084935755161613,18.217174700325746
53,20.583200635316885,18.720426238733918
54,21.235394726870723,19.172459662734905
55,21.2603682903519,19.127517904038942
56,21.25997999265756,19.16748641545389
57,21.22641031229544,19.036072271870612
58,23.769212822327336,19.28041204874531
59,25.335600518495824,19.45955302068816
60,26.546033816862778,19.973719033318837
61,27.541094469459548,20.31817810551641
62,28.316473961957726,20.72468923185134
63,28.917827285347737,20.79040038130287
64,29.466336992685562,21.318277812182004
65,30.101328295965814,21.556482764637842
66,30.38128867065606,21.639476881946194
67,30.553103946840007,21.638781332645717
68,30.431142144630144,21.671722171633654
69,30.21163955662478,23.241310480655166
70,29.88669317833857,24.510249019281936
71,29.559412336716612,25.652763722768015
72,29.180223127443647,26.582821709698994
73,28.91327961833067,27.465808986718972
74,28.838226136591008,28.11125923530902
75,28.850513954279368,28.709542982496277
76,28.96490505955179,29.256999444485377
77,29.15052417181679,29.780657936950867
78,29.413989952098717,30.247674156129467
79,29.780972326965713,30.553553828751348
80,30.00512516063568,30.57384894097192
81,30.135533969780777,30.434490115175958
82,30.06824009722009,30.183654427808413
83,29.908612122348842,29.870367641810827
84,29.73125226165558,29.597399736919822
85,29.451535302010164,29.336786708242858
86,29.24602161559847,29.106571473179304
87,29.134464155717133,28.951733625792976
88,29.067669768541705,28.95098739967752
89,29.289820296269877,29.028229561015653
90,29.510992327902688,29.135566020995512
91,29.7379457986811,29.341752307225487
92,29.915870777052017,29.64869838425268
93,30.011275928630358,29.993300034307005
94,29.97915230299366,30.13784398457453
95,29.851987874409456,30.11984926053034
96,29.673344647217107,30.062378688121296
97,29.460382620768502,29.868426652853753
98,29.30654129503888,29.48420682063194
99,29.180417580905026,29.22232090562329
100,29.1744798215614,28.998507815630415
101,29.335026185454026,28.904631283729
102,29.52095611740462,28.975720828465818
103,29.786575047541785,29.14166104177051
104,29.876010063395526,29.364292920633865
105,30.03810919031418,29.69766552778191
106,30.054469139676783,30.020617919603573
107,29.94915486002528,30.18840196595264
108,29.769461942042298,30.144037017943084
109,29.574528781216873,29.978867533815727
110,29.364636457676948,29.80098235589744
111,29.231460335966478,29.596193171353214
112,29.17476305919804,29.40221980960103
113,29.228681522924287,29.258547437848385
114,29.339128333971455,29.181239342428896
115,29.594667605299744,29.213003590143433
116,29.838849817251464,29.326195490226336
117,29.99667523992843,29.497336140889917
118,30.016839918799676,29.677611328758054
119,29.933745873552517,29.728100816645995
120,29.742601882425436,29.858724331838687
121,29.504269548292125,29.837022457054033
122,29.293375447845367,29.761738073342713
123,29.195517540595834,29.72720899601666
124,29.172766412758865,29.67161929662717
125,29.262137765558485,29.548009035080284
126,29.499976039353506,29.399385048596574
127,29.779809131684953,29.417014803696986
128,29.93135209248663,29.485349024640026
129,30.03868522771729,29.542432491861206
130,30.013597821053686,29.663759238461793
131,29.874373358012605,29.7507491240423
132,29.64500909033816,29.738655649944345
133,29.424330615456913,29.694755471441265
134,29.266796198941424,29.663155918154764
135,29.098333614305183,29.616256442980433
136,29.21635796942503,29.58523380876963
137,29.340129809954455,29.509402189376747
138,29.576645957950753,29.513258067896608
139,29.805536792542284,29.559319948851485
140,29.969683318339552,29.622130294487214
141,30.041053379782763,29.66344277457596
142,29.96343797087822,29.6261508415214
143,29.817192042517956,29.657708259760565
144,29.645160464934634,29.61118070712588
145,29.439176491618916,29.642011399850087
146,29.264088215753105,29.66440516045785
147,29.21312511881539,29.66958783933108
148,29.269440388192805,29.667368101181374
149,29.37642335114859,29.64178620869929
150,29.5514463499956,29.558385887323833
151,29.739343976850936,29.46987454248449
