benign_locationx,benign_locationy,replay_locationx,replay_locationy
-103.12691497802734,-16.43147087097168,-103.156494140625,-15.221226692199707
-103.12083435058594,-16.693511962890625,-103.15409851074219,-15.306297302246094
-103.1164321899414,-16.884273529052734,-103.1517333984375,-15.390643119812012
-103.11213684082031,-17.068450927734375,-103.14927673339844,-15.478551864624023
-103.10834503173828,-17.20297622680664,-103.14611053466797,-15.59116268157959
-103.1036376953125,-17.37123680114746,-103.14311981201172,-15.698111534118652
-103.09947967529297,-17.526954650878906,-103.14102935791016,-15.806328773498535
-103.09524536132812,-17.686365127563477,-103.13868713378906,-15.919513702392578
-103.09075164794922,-17.854557037353516,-103.13594818115234,-16.03856658935547
-103.08625030517578,-18.023080825805664,-103.13328552246094,-16.152420043945312
-103.08154296875,-18.198577880859375,-103.13075256347656,-16.26104164123535
-103.0762939453125,-18.393354415893555,-103.12793731689453,-16.381669998168945
-103.07025146484375,-18.569204330444336,-103.12511444091797,-16.503219604492188
-103.06228637695312,-18.770902633666992,-103.12211608886719,-16.631986618041992
-103.05536651611328,-18.951704025268555,-103.11872100830078,-16.77734375
-103.04918670654297,-19.115081787109375,-103.11566162109375,-16.907773971557617
-103.04287719726562,-19.27950668334961,-103.11172485351562,-17.04718589782715
-103.03575134277344,-19.4638729095459,-103.10787200927734,-17.18486213684082
-103.02815246582031,-19.6588134765625,-103.1039810180664,-17.329029083251953
-103.02021026611328,-19.860647201538086,-103.10023498535156,-17.469959259033203
-103.00955200195312,-20.0828914642334,-103.09596252441406,-17.63003921508789
-102.99807739257812,-20.28826141357422,-103.09180450439453,-17.785985946655273
-102.98658752441406,-20.494548797607422,-103.08723449707031,-17.95720863342285
-102.97592163085938,-20.685550689697266,-103.08274841308594,-18.124717712402344
-102.96485137939453,-20.88121795654297,-103.07816314697266,-18.295866012573242
-102.95281982421875,-21.091129302978516,-103.07139587402344,-18.490842819213867
-102.93785095214844,-21.320653915405273,-103.0644302368164,-18.663639068603516
-102.9212646484375,-21.546188354492188,-103.05648040771484,-18.870092391967773
-102.90424346923828,-21.771936416625977,-103.04949951171875,-19.05449676513672
-102.88384246826172,-22.037817001342773,-103.04055786132812,-19.289077758789062
-102.86474609375,-22.283239364624023,-103.03192138671875,-19.514142990112305
-102.83907318115234,-22.57610321044922,-103.02513122558594,-19.690542221069336
-102.75688934326172,-23.318267822265625,-103.01815795898438,-19.86981201171875
-102.72666931152344,-23.604719161987305,-103.00855255126953,-20.077024459838867
-102.700927734375,-23.850820541381836,-102.99776458740234,-20.27694320678711
-102.6732177734375,-24.09835433959961,-102.98553466796875,-20.49946403503418
-102.64192199707031,-24.357179641723633,-102.97325134277344,-20.720932006835938
-102.61028289794922,-24.606689453125,-102.96184539794922,-20.92431640625
-102.57923889160156,-24.84551429748535,-102.9488525390625,-21.12816619873047
-102.5479736328125,-25.081323623657227,-102.93356323242188,-21.342554092407227
-102.51654052734375,-25.315866470336914,-102.91407775878906,-21.605113983154297
-102.48531341552734,-25.545082092285156,-102.89607238769531,-21.84345817565918
-102.45222473144531,-25.78529930114746,-102.87650299072266,-22.09766960144043
-102.42049407958984,-26.004085540771484,-102.8564224243164,-22.353939056396484
-102.38846588134766,-26.211000442504883,-102.83354187011719,-22.618576049804688
-102.3463363647461,-26.473278045654297,-102.80908203125,-22.87486457824707
-102.30555725097656,-26.72132682800293,-102.78323364257812,-23.13675308227539
-102.26502990722656,-26.964006423950195,-102.75801849365234,-23.386634826660156
-102.22294616699219,-27.212343215942383,-102.73445129394531,-23.617755889892578
-102.18009185791016,-27.4622745513916,-102.7099609375,-23.85265350341797
-102.13069152832031,-27.73549461364746,-102.68549346923828,-24.072954177856445
-102.08890533447266,-27.95362091064453,-102.65805053710938,-24.301551818847656
-102.04124450683594,-28.19569206237793,-102.62928771972656,-24.533090591430664
-101.99659729003906,-28.419363021850586,-102.60108184814453,-24.75321388244629
-101.95240783691406,-28.637165069580078,-102.56954193115234,-24.994178771972656
-101.90425872802734,-28.871896743774414,-102.5390396118164,-25.222869873046875
-101.85680389404297,-29.100263595581055,-102.50879669189453,-25.44550323486328
-101.80047607421875,-29.36878776550293,-102.4791259765625,-25.661569595336914
-101.75120544433594,-29.594823837280273,-102.44656372070312,-25.89509391784668
-101.69795989990234,-29.82651138305664,-102.41190338134766,-26.131114959716797
-101.64143371582031,-30.06572723388672,-102.37722778320312,-26.352672576904297
-101.58975982666016,-30.280223846435547,-102.34002685546875,-26.583375930786133
-101.53389739990234,-30.50888442993164,-102.29307556152344,-26.867042541503906
-101.47988891601562,-30.728105545043945,-102.25086975097656,-27.117727279663086
-101.42012786865234,-30.968053817749023,-102.20924377441406,-27.361488342285156
-101.35724639892578,-31.211898803710938,-102.16156005859375,-27.62752914428711
-101.29421997070312,-31.44455337524414,-102.11479187011719,-27.872777938842773
-101.22539520263672,-31.692684173583984,-102.06749725341797,-28.11353302001953
-101.15234375,-31.951786041259766,-102.01427459716797,-28.378873825073242
-101.0839614868164,-32.19134521484375,-101.96753692626953,-28.608112335205078
-100.99465942382812,-32.500423431396484,-101.92079162597656,-28.835317611694336
-100.8053970336914,-33.12964630126953,-101.87397003173828,-29.0595760345459
-100.72248077392578,-33.38102340698242,-101.82421875,-29.295944213867188
-100.62681579589844,-33.66571807861328,-101.76793670654297,-29.552642822265625
-100.54173278808594,-33.921043395996094,-101.71056365966797,-29.800052642822266
-100.46456146240234,-34.15210723876953,-101.65680694580078,-30.025625228881836
-100.39356994628906,-34.35953140258789,-101.60316467285156,-30.247953414916992
-100.31212615966797,-34.58895492553711,-101.54865264892578,-30.47076416015625
-100.22637176513672,-34.82463455200195,-101.49314880371094,-30.695602416992188
-100.1278305053711,-35.090782165527344,-101.43718719482422,-30.919830322265625
-100.0426025390625,-35.3185920715332,-101.37664794921875,-31.154558181762695
-99.9599609375,-35.53803253173828,-101.3180923461914,-31.372161865234375
-99.87986755371094,-35.7486572265625,-101.2550277709961,-31.601163864135742
-99.80270385742188,-35.95037078857422,-101.18896484375,-31.83641815185547
-99.71639251708984,-36.17036437988281,-101.1250991821289,-32.06036376953125
-99.63121032714844,-36.38084411621094,-101.05877685546875,-32.29093551635742
-99.54364776611328,-36.59263610839844,-100.98540496826172,-32.54294967651367
-99.454345703125,-36.80615234375,-100.91107177734375,-32.7894401550293
-99.36404418945312,-37.019691467285156,-100.83685302734375,-33.02507781982422
-99.27568054199219,-37.22718048095703,-100.75064849853516,-33.29364776611328
-99.18629455566406,-37.435367584228516,-100.66902923583984,-33.54430389404297
-99.09266662597656,-37.648616790771484,-100.5780029296875,-33.8204345703125
-98.97245025634766,-37.91313552856445,-100.49142456054688,-34.0805549621582
-98.86357116699219,-38.1481819152832,-100.41632843017578,-34.30445861816406
-98.75332641601562,-38.38334274291992,-100.34086608886719,-34.523895263671875
-98.6446533203125,-38.61299514770508,-100.26758575439453,-34.73015213012695
-98.54741668701172,-38.81684112548828,-100.17753601074219,-34.97696304321289
-98.45279693603516,-39.01409149169922,-100.09439849853516,-35.2009162902832
-98.3509292602539,-39.2219123840332,-99.99591827392578,-35.463584899902344
-98.24628448486328,-39.429603576660156,-99.90110778808594,-35.71393966674805
-98.14142608642578,-39.63383865356445,-99.80791473388672,-35.95787048339844
-98.03251647949219,-39.84364318847656,-99.72119140625,-36.179351806640625
-97.91411590576172,-40.0693473815918,-99.63072204589844,-36.40283203125
-97.79688262939453,-40.290916442871094,-99.5361099243164,-36.63229751586914
-97.6829833984375,-40.504676818847656,-99.44454956054688,-36.851165771484375
-97.54230499267578,-40.76727294921875,-99.34856414794922,-37.07849884033203
-97.42809295654297,-40.97630310058594,-99.24948120117188,-37.31073760986328
-97.31570434570312,-41.17632293701172,-99.14820861816406,-37.54600143432617
-97.19717407226562,-41.3840217590332,-99.03801727294922,-37.795406341552734
-97.08577728271484,-41.577030181884766,-98.93450164794922,-38.02192687988281
-96.97276306152344,-41.77139663696289,-98.8302993774414,-38.245689392089844
-96.84651947021484,-41.98673629760742,-98.7169189453125,-38.486114501953125
-96.72151947021484,-42.19854736328125,-98.61570739746094,-38.6988525390625
-96.5887222290039,-42.41886520385742,-98.5146484375,-38.910057067871094
-96.45418548583984,-42.635345458984375,-98.41316986083984,-39.12041091918945
-96.32585906982422,-42.83841323852539,-98.30256652832031,-39.344635009765625
-96.20230865478516,-43.032440185546875,-98.18985748291016,-39.565895080566406
-96.08340454101562,-43.21759033203125,-98.07331085205078,-39.79068374633789
-95.9610366821289,-43.40695571899414,-97.92989349365234,-40.06401443481445
-95.822265625,-43.620208740234375,-97.82291412353516,-40.26660919189453
-95.69873809814453,-43.80630874633789,-97.71182250976562,-40.475337982177734
-95.5706558227539,-43.99439239501953,-97.5958251953125,-40.69205856323242
-95.43722534179688,-44.18675994873047,-97.48464965820312,-40.89597702026367
